TwoOpt,BestInsert,IndepCyclique0,
( 50 ) [4757856,27054,39445,59237,];[4757856,27054,39445,59237,];[4765412,29200,43263,76467,];
( 60 ) [4751984,28645,42466,85667,];[4751984,28645,42466,85667,];[4748996,31671,47662,97767,];
( 70 ) [4740738,27377,40116,71195,];[4740738,27377,40116,71195,];[4758235,29987,44351,86034,];
( 80 ) [4802919,29691,44283,114627,];[4802919,29691,44283,114627,];[4807106,31743,47319,101650,];
( 90 ) [4774830,28303,42053,86789,];[4774830,28303,42053,86789,];[4770662,30524,45940,113034,];
( 100 ) [4824079,30660,46156,112233,];[4824079,30979,46867,112899,];[4832081,34080,51865,111974,];
( 110 ) [4786432,31902,48058,121718,];[4786432,32035,48333,121718,];[4783095,37590,57003,128375,];
( 120 ) [4804379,30605,45683,94084,];[4804379,30763,46062,106327,];[4815274,35019,53154,142527,];
( 130 ) [4748866,33613,50554,109941,];[4748866,34013,51200,109941,];[4751532,38553,59159,157690,];
( 140 ) [4786353,33721,50780,117696,];[4786353,33756,50782,98057,];[4782758,41549,64069,146980,];
( 150 ) [4793258,33983,51515,144581,];[4793258,34174,51832,129714,];[4793371,39011,59928,163078,];
( 160 ) [4808100,33506,50603,168262,];[4808100,33883,51383,196628,];[4806162,40043,60732,142010,];
( 170 ) [4846937,37015,56359,158968,];[4847271,37828,57985,158968,];[4849624,44555,69451,177277,];
( 180 ) [4821472,36200,54846,143628,];[4821472,37005,56552,168995,];[4852491,43555,67626,207789,];
( 190 ) [4830104,36431,55387,140352,];[4830104,37004,56331,131572,];[4839926,48641,76852,293682,];
( 200 ) [4827230,37031,56299,186038,];[4832853,37580,57432,194238,];[4842206,46836,72253,200036,];
( 210 ) [4849228,37622,57365,154255,];[4848338,38319,58429,154255,];[4863754,48376,75870,205331,];
( 220 ) [4814936,39589,60538,140999,];[4817337,40201,61683,151790,];[4861477,50808,80224,315484,];
( 230 ) [4836073,38834,59631,153171,];[4836073,39347,60799,192667,];[4844701,49047,75722,217512,];
( 240 ) [4860000,41231,63212,180765,];[4859554,42146,64505,147198,];[4866149,53857,82758,229291,];
( 250 ) [4827236,42081,64101,141230,];[4827236,42929,65543,172468,];[4843109,58115,90836,284702,];
( 260 ) [4861174,45466,69895,199394,];[4867332,45390,69785,195993,];[4863031,59249,95163,366274,];
( 270 ) [4802391,44998,68836,181841,];[4797530,45469,69913,174510,];[4810400,58743,94827,533599,];
( 280 ) [4845579,44626,68949,188974,];[4849486,45939,70914,188974,];[4863419,66009,108353,521374,];
( 290 ) [4844215,48737,75953,227463,];[4849954,49690,77446,237811,];[4836910,65132,103112,403253,];
( 300 ) [4827059,49335,76489,192188,];[4820987,50769,78611,200983,];[4834011,72108,119235,579045,];
( 310 ) [4826840,49373,77241,261027,];[4828100,52221,80848,274930,];[4861919,78192,129202,598625,];
( 320 ) [4834289,48925,75512,212885,];[4833071,51394,79723,296334,];[4856144,74588,120423,496557,];
( 330 ) [4840838,52920,81739,219762,];[4843949,54999,84390,205936,];[4858826,83480,136119,545183,];
( 340 ) [4839938,53010,82196,282452,];[4842134,53548,83307,258473,];[4873495,74328,121118,469323,];
( 350 ) [4848330,54558,83837,214363,];[4845489,57187,89133,295474,];[4895180,80992,129137,473725,];
( 360 ) [4857601,56437,86969,186337,];[4852779,59195,92274,316110,];[4943583,84481,139408,662079,];
( 370 ) [4855718,55826,86093,226616,];[4849933,58547,91010,242340,];[4875250,85274,138258,509476,];
( 380 ) [4861114,57827,89711,253885,];[4911730,59901,93888,309584,];[4916072,83920,137487,586863,];
