TwoOpt,BestInsert,IndepCyclique0,
( 50 ) [4767658,40229,58758,125836,];[4767658,40229,58758,125836,];[4776522,41807,61191,111353,];
( 60 ) [4762234,42441,62455,115715,];[4770441,42579,62658,115715,];[4759183,47437,71372,151744,];
( 70 ) [4760888,41341,60145,98843,];[4759585,41437,60389,98843,];[4768855,44885,65979,127607,];
( 80 ) [4817113,43434,64186,144575,];[4817113,43434,64186,144575,];[4820234,47070,69870,128903,];
( 90 ) [4792144,43656,64598,128782,];[4792144,44057,65149,128782,];[4802356,48999,74227,222301,];
( 100 ) [4844630,48349,72884,171812,];[4844630,48445,72987,171812,];[4860115,53008,81248,203781,];
( 110 ) [4802093,50008,74482,155889,];[4809561,50351,75291,168739,];[4792189,59244,90305,298658,];
( 120 ) [4819418,49059,73449,194540,];[4819418,48585,72571,154845,];[4872057,56939,87305,241996,];
( 130 ) [4762865,55854,84921,206961,];[4762865,56241,85016,206961,];[4770568,64626,99704,328579,];
( 140 ) [4806378,56901,87641,257576,];[4806222,58292,89880,342228,];[4807183,70871,109622,278466,];
( 150 ) [4805732,54283,82847,216905,];[4805732,54316,83092,216426,];[4819383,66801,103331,290795,];
( 160 ) [4837482,57417,87283,287442,];[4839116,58886,89408,282790,];[4853175,70665,108206,256000,];
( 170 ) [4881459,64905,99041,229509,];[4881650,67448,104545,268633,];[4903219,90522,144949,420223,];
( 180 ) [4847598,63128,97204,376223,];[4834999,65214,100026,252865,];[4873304,94517,152905,463319,];
( 190 ) [4847388,70048,107585,272223,];[4846431,74206,116076,341966,];[4883941,96353,156871,606405,];
( 200 ) [4875762,64673,97223,193168,];[4882933,67589,103296,294910,];[4922797,93307,148576,540303,];
( 210 ) [4887928,65004,99120,245479,];[4885005,68434,105828,303084,];[4923005,100960,161629,695483,];
( 220 ) [4854994,73294,113206,317972,];[4864966,79263,123559,538083,];[4940564,106674,176868,786665,];
( 230 ) [4917204,75857,117182,323156,];[4910566,76245,119525,447701,];[4940511,112595,186381,795901,];
( 240 ) [4950872,76444,119419,353385,];[4931660,80735,124383,315512,];[4989084,118362,186448,679680,];
( 250 ) [4875823,80292,122185,298081,];[4863924,86713,133773,438466,];[4939132,123370,197288,640518,];
( 260 ) [4917945,90033,138716,488663,];[4931052,96906,150397,456736,];[4983284,146483,244674,899137,];
( 270 ) [4847894,90610,138924,427363,];[4831056,93181,144179,506224,];[4976517,156782,266518,1220807,];
( 280 ) [4900563,89946,138640,419149,];[4961817,99083,154172,534813,];[5018225,158512,270501,1488023,];
( 290 ) [4899648,98748,152798,420312,];[4906872,105392,162841,486505,];[4985006,161218,268044,1481550,];
( 300 ) [4889608,106766,164708,407391,];[4883066,115311,177919,420711,];[5190026,245859,498783,3078975,];
( 310 ) [4873718,106640,166032,621218,];[4897671,120418,188586,690937,];[4941689,182915,302601,1637205,];
( 320 ) [4891899,107634,164929,650211,];[4900878,121523,188040,639269,];[5020033,215758,364915,1504161,];
( 330 ) [4919928,117135,179836,420960,];[4924431,129792,198845,539443,];[5138861,240146,415831,2144179,];
( 340 ) [4901104,111910,172998,573871,];[4917227,126569,194689,559158,];[5071959,188723,312143,1268166,];
( 350 ) [4930862,124381,190586,590942,];[4932360,147304,227881,845775,];[5169614,272364,472170,2103481,];
( 360 ) [4954248,129396,199362,608303,];[4961314,140424,218083,668194,];[5208635,307403,559913,2936783,];
( 370 ) [4910173,129582,200393,834597,];[4940773,145919,224078,738713,];[5153667,334573,581103,3049403,];
( 380 ) [4972007,137488,211500,686928,];[5004235,153499,234643,577328,];[6083135,650828,1446314,6308947,];
( 390 ) [4984348,152292,233044,603988,];[5042617,162563,247560,601266,];[5386314,335608,576705,2713735,];
( 400 ) [4981547,150055,230461,617610,];[4977384,163085,250606,666025,];[5455557,398510,717786,4027524,];
( 410 ) [5001581,152762,235225,622502,];[5021740,173435,265392,639709,];[5427596,338757,586955,2891703,];
( 420 ) [4946982,168458,257272,755576,];[4981960,184655,282766,968706,];[5347131,411837,725293,3167019,];
failure
