OnlineAlgoIteratifTransportTime,
( 50 ) [4773344,46711,68708,128021,];
( 60 ) [4771597,53642,80149,171274,];
( 70 ) [4794573,54646,81721,159249,];
( 80 ) [4824638,57887,87022,163412,];
( 90 ) [4798122,59531,91999,290284,];
( 100 ) [4887242,67526,105103,319005,];
( 110 ) [4819454,72746,110369,288389,];
( 120 ) [4863125,77673,121825,403664,];
( 130 ) [4782573,88879,139491,418297,];
( 140 ) [4829419,91817,144649,492576,];
( 150 ) [4857950,92114,144971,516867,];
( 160 ) [4891468,104382,163776,548983,];
