{acceleration:0.0025,dureePortes:2500,ascenseurSpeed:0.0015,capaciteAsc:5,repartAscenseurs:{{val:1}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:4819471,totalTransportTime:3001014,nbPersonneTransportees:80,failed:false,maxTransportTime:106290}
{ascStackId:0,heureEntreeAscenseur:15205,heureSortieAscenseur:40738,monteeIdId:0,heureArrivee:6838}
{ascStackId:0,heureEntreeAscenseur:109936,heureSortieAscenseur:124136,monteeIdId:0,heureArrivee:85370}
{ascStackId:0,heureEntreeAscenseur:102403,heureSortieAscenseur:135669,monteeIdId:0,heureArrivee:94410}
{ascStackId:0,heureEntreeAscenseur:163202,heureSortieAscenseur:229935,monteeIdId:0,heureArrivee:124067}
{ascStackId:0,heureEntreeAscenseur:173402,heureSortieAscenseur:186935,monteeIdId:0,heureArrivee:138259}
{ascStackId:0,heureEntreeAscenseur:237468,heureSortieAscenseur:259668,monteeIdId:0,heureArrivee:175561}
{ascStackId:0,heureEntreeAscenseur:197135,heureSortieAscenseur:207202,monteeIdId:0,heureArrivee:186477}
{ascStackId:0,heureEntreeAscenseur:198335,heureSortieAscenseur:208402,monteeIdId:0,heureArrivee:186477}
{ascStackId:0,heureEntreeAscenseur:517643,heureSortieAscenseur:539843,monteeIdId:0,heureArrivee:499943}
{ascStackId:0,heureEntreeAscenseur:562293,heureSortieAscenseur:574360,monteeIdId:0,heureArrivee:543260}
{ascStackId:0,heureEntreeAscenseur:563493,heureSortieAscenseur:575560,monteeIdId:0,heureArrivee:543260}
{ascStackId:0,heureEntreeAscenseur:681739,heureSortieAscenseur:700606,monteeIdId:0,heureArrivee:676039}
{ascStackId:0,heureEntreeAscenseur:752498,heureSortieAscenseur:781365,monteeIdId:0,heureArrivee:746798}
{ascStackId:0,heureEntreeAscenseur:874032,heureSortieAscenseur:884899,monteeIdId:0,heureArrivee:856332}
{ascStackId:0,heureEntreeAscenseur:937316,heureSortieAscenseur:948849,monteeIdId:0,heureArrivee:931616}
