{acceleration:2.5E-7,dureePortes:2500,ascenseurSpeed:1.5E-3,capaciteAsc:5,repartAscenseurs:{{val:2},{val:2},{val:2},{val:2}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:5484740,totalTransportTime:182054320,nbPersonneTransportees:2400,failed:false,maxTransportTime:498406}
{ascStackId:0,heureEntreeAscenseur:12423,heureSortieAscenseur:26623,monteeIdId:0,heureArrivee:723}
{ascStackId:0,heureEntreeAscenseur:9054,heureSortieAscenseur:29254,monteeIdId:1,heureArrivee:5354}
{ascStackId:1,heureEntreeAscenseur:10639,heureSortieAscenseur:39505,monteeIdId:2,heureArrivee:6939}
{ascStackId:1,heureEntreeAscenseur:38226,heureSortieAscenseur:87692,monteeIdId:0,heureArrivee:8624}
{ascStackId:0,heureEntreeAscenseur:33280,heureSortieAscenseur:56146,monteeIdId:3,heureArrivee:12914}
{ascStackId:1,heureEntreeAscenseur:40324,heureSortieAscenseur:89123,monteeIdId:1,heureArrivee:14901}
{ascStackId:0,heureEntreeAscenseur:20016,heureSortieAscenseur:62450,monteeIdId:2,heureArrivee:16316}
{ascStackId:0,heureEntreeAscenseur:27823,heureSortieAscenseur:42023,monteeIdId:0,heureArrivee:21277}
{ascStackId:0,heureEntreeAscenseur:30216,heureSortieAscenseur:85183,monteeIdId:2,heureArrivee:22382}
{ascStackId:1,heureEntreeAscenseur:56013,heureSortieAscenseur:85546,monteeIdId:3,heureArrivee:22563}
{ascStackId:0,heureEntreeAscenseur:59746,heureSortieAscenseur:90679,monteeIdId:3,heureArrivee:29072}
{ascStackId:0,heureEntreeAscenseur:58546,heureSortieAscenseur:114007,monteeIdId:3,heureArrivee:30905}
{ascStackId:0,heureEntreeAscenseur:50152,heureSortieAscenseur:62008,monteeIdId:1,heureArrivee:32452}
{ascStackId:0,heureEntreeAscenseur:43584,heureSortieAscenseur:63650,monteeIdId:2,heureArrivee:33950}
{ascStackId:1,heureEntreeAscenseur:65590,heureSortieAscenseur:92723,monteeIdId:1,heureArrivee:35790}
{ascStackId:1,heureEntreeAscenseur:64390,heureSortieAscenseur:91523,monteeIdId:1,heureArrivee:35790}
{ascStackId:1,heureEntreeAscenseur:64159,heureSortieAscenseur:91292,monteeIdId:0,heureArrivee:35790}
{ascStackId:0,heureEntreeAscenseur:55079,heureSortieAscenseur:78476,monteeIdId:0,heureArrivee:36391}
{ascStackId:1,heureEntreeAscenseur:89085,heureSortieAscenseur:126085,monteeIdId:2,heureArrivee:44221}
{ascStackId:1,heureEntreeAscenseur:233261,heureSortieAscenseur:248405,monteeIdId:0,heureArrivee:46311}
{ascStackId:1,heureEntreeAscenseur:62085,heureSortieAscenseur:123685,monteeIdId:2,heureArrivee:49615}
{ascStackId:1,heureEntreeAscenseur:60885,heureSortieAscenseur:122485,monteeIdId:2,heureArrivee:49615}
{ascStackId:1,heureEntreeAscenseur:59685,heureSortieAscenseur:121285,monteeIdId:2,heureArrivee:49615}
{ascStackId:0,heureEntreeAscenseur:53879,heureSortieAscenseur:77276,monteeIdId:0,heureArrivee:49709}
{ascStackId:1,heureEntreeAscenseur:113399,heureSortieAscenseur:139140,monteeIdId:3,heureArrivee:55838}
{ascStackId:0,heureEntreeAscenseur:57346,heureSortieAscenseur:80479,monteeIdId:3,heureArrivee:55933}
{ascStackId:0,heureEntreeAscenseur:61279,heureSortieAscenseur:79676,monteeIdId:0,heureArrivee:56123}
{ascStackId:0,heureEntreeAscenseur:75064,heureSortieAscenseur:111753,monteeIdId:1,heureArrivee:57185}
{ascStackId:1,heureEntreeAscenseur:62959,heureSortieAscenseur:90092,monteeIdId:0,heureArrivee:57702}
{ascStackId:1,heureEntreeAscenseur:61759,heureSortieAscenseur:88892,monteeIdId:0,heureArrivee:57702}
{ascStackId:1,heureEntreeAscenseur:63190,heureSortieAscenseur:90323,monteeIdId:1,heureArrivee:57702}
{ascStackId:0,heureEntreeAscenseur:60946,heureSortieAscenseur:103807,monteeIdId:3,heureArrivee:58975}
{ascStackId:1,heureEntreeAscenseur:73941,heureSortieAscenseur:124885,monteeIdId:2,heureArrivee:62300}
{ascStackId:0,heureEntreeAscenseur:141153,heureSortieAscenseur:175419,monteeIdId:1,heureArrivee:63882}
{ascStackId:0,heureEntreeAscenseur:73864,heureSortieAscenseur:138753,monteeIdId:1,heureArrivee:67883}
{ascStackId:1,heureEntreeAscenseur:95123,heureSortieAscenseur:122656,monteeIdId:1,heureArrivee:68770}
{ascStackId:0,heureEntreeAscenseur:115207,heureSortieAscenseur:138073,monteeIdId:3,heureArrivee:69928}
{ascStackId:0,heureEntreeAscenseur:82076,heureSortieAscenseur:123585,monteeIdId:0,heureArrivee:70161}
{ascStackId:0,heureEntreeAscenseur:80876,heureSortieAscenseur:105385,monteeIdId:0,heureArrivee:75374}
{ascStackId:0,heureEntreeAscenseur:141441,heureSortieAscenseur:165107,monteeIdId:0,heureArrivee:77364}
{ascStackId:0,heureEntreeAscenseur:140241,heureSortieAscenseur:163907,monteeIdId:0,heureArrivee:77364}
{ascStackId:1,heureEntreeAscenseur:92492,heureSortieAscenseur:127358,monteeIdId:0,heureArrivee:79697}
{ascStackId:0,heureEntreeAscenseur:139041,heureSortieAscenseur:162707,monteeIdId:0,heureArrivee:80536}
{ascStackId:0,heureEntreeAscenseur:137841,heureSortieAscenseur:161507,monteeIdId:0,heureArrivee:80536}
{ascStackId:0,heureEntreeAscenseur:136641,heureSortieAscenseur:160307,monteeIdId:0,heureArrivee:80536}
{ascStackId:0,heureEntreeAscenseur:87006,heureSortieAscenseur:123609,monteeIdId:1,heureArrivee:83306}
{ascStackId:1,heureEntreeAscenseur:93923,heureSortieAscenseur:141522,monteeIdId:1,heureArrivee:86910}
{ascStackId:0,heureEntreeAscenseur:91624,heureSortieAscenseur:124785,monteeIdId:0,heureArrivee:87924}
{ascStackId:0,heureEntreeAscenseur:139953,heureSortieAscenseur:174219,monteeIdId:1,heureArrivee:88029}
{ascStackId:0,heureEntreeAscenseur:116024,heureSortieAscenseur:177065,monteeIdId:2,heureArrivee:88312}
{ascStackId:1,heureEntreeAscenseur:101543,heureSortieAscenseur:137940,monteeIdId:3,heureArrivee:88666}
{ascStackId:1,heureEntreeAscenseur:141558,heureSortieAscenseur:214205,monteeIdId:0,heureArrivee:89133}
{ascStackId:0,heureEntreeAscenseur:156833,heureSortieAscenseur:171161,monteeIdId:3,heureArrivee:91018}
{ascStackId:0,heureEntreeAscenseur:155633,heureSortieAscenseur:169961,monteeIdId:3,heureArrivee:91018}
{ascStackId:1,heureEntreeAscenseur:132085,heureSortieAscenseur:156285,monteeIdId:2,heureArrivee:93377}
{ascStackId:0,heureEntreeAscenseur:114824,heureSortieAscenseur:146082,monteeIdId:2,heureArrivee:97425}
{ascStackId:0,heureEntreeAscenseur:113624,heureSortieAscenseur:162865,monteeIdId:2,heureArrivee:104797}
{ascStackId:1,heureEntreeAscenseur:141540,heureSortieAscenseur:180734,monteeIdId:3,heureArrivee:104964}
