{acceleration:2.5E-7,dureePortes:2500,ascenseurSpeed:1.5E-3,capaciteAsc:5,repartAscenseurs:{{val:2},{val:2},{val:2},{val:2}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:7030490,totalTransportTime:2051940012,nbPersonneTransportees:3602,failed:false,maxTransportTime:6574327}
{ascStackId:1,heureEntreeAscenseur:7786,heureSortieAscenseur:41319,monteeIdId:0,heureArrivee:4086}
{ascStackId:1,heureEntreeAscenseur:27039,heureSortieAscenseur:145483,monteeIdId:3,heureArrivee:4673}
{ascStackId:1,heureEntreeAscenseur:11190,heureSortieAscenseur:43390,monteeIdId:2,heureArrivee:7490}
{ascStackId:0,heureEntreeAscenseur:14294,heureSortieAscenseur:34494,monteeIdId:3,heureArrivee:10594}
{ascStackId:1,heureEntreeAscenseur:16301,heureSortieAscenseur:46701,monteeIdId:1,heureArrivee:12601}
{ascStackId:1,heureEntreeAscenseur:56901,heureSortieAscenseur:161274,monteeIdId:1,heureArrivee:14224}
{ascStackId:1,heureEntreeAscenseur:80229,heureSortieAscenseur:163674,monteeIdId:1,heureArrivee:14270}
{ascStackId:0,heureEntreeAscenseur:135741,heureSortieAscenseur:161407,monteeIdId:1,heureArrivee:15542}
{ascStackId:0,heureEntreeAscenseur:49301,heureSortieAscenseur:68045,monteeIdId:1,heureArrivee:17921}
{ascStackId:1,heureEntreeAscenseur:22501,heureSortieAscenseur:109573,monteeIdId:1,heureArrivee:18201}
{ascStackId:0,heureEntreeAscenseur:39101,heureSortieAscenseur:66845,monteeIdId:1,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:36701,heureSortieAscenseur:64445,monteeIdId:1,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:37901,heureSortieAscenseur:65645,monteeIdId:1,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:22997,heureSortieAscenseur:39597,monteeIdId:2,heureArrivee:19297}
{ascStackId:0,heureEntreeAscenseur:36722,heureSortieAscenseur:56255,monteeIdId:0,heureArrivee:19689}
{ascStackId:1,heureEntreeAscenseur:70029,heureSortieAscenseur:162474,monteeIdId:1,heureArrivee:20733}
{ascStackId:0,heureEntreeAscenseur:24197,heureSortieAscenseur:98432,monteeIdId:2,heureArrivee:21377}
{ascStackId:0,heureEntreeAscenseur:25397,heureSortieAscenseur:115160,monteeIdId:2,heureArrivee:22884}
{ascStackId:0,heureEntreeAscenseur:137216,heureSortieAscenseur:174810,monteeIdId:2,heureArrivee:23031}
{ascStackId:0,heureEntreeAscenseur:125360,heureSortieAscenseur:173610,monteeIdId:2,heureArrivee:23603}
{ascStackId:1,heureEntreeAscenseur:49905,heureSortieAscenseur:146683,monteeIdId:3,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:51105,heureSortieAscenseur:147883,monteeIdId:3,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:155083,heureSortieAscenseur:178616,monteeIdId:3,heureArrivee:28032}
{ascStackId:1,heureEntreeAscenseur:51519,heureSortieAscenseur:178284,monteeIdId:0,heureArrivee:30366}
{ascStackId:0,heureEntreeAscenseur:55894,heureSortieAscenseur:71294,monteeIdId:3,heureArrivee:31028}
{ascStackId:1,heureEntreeAscenseur:184284,heureSortieAscenseur:255684,monteeIdId:0,heureArrivee:31091}
{ascStackId:1,heureEntreeAscenseur:181884,heureSortieAscenseur:209684,monteeIdId:0,heureArrivee:32171}
{ascStackId:0,heureEntreeAscenseur:57094,heureSortieAscenseur:96894,monteeIdId:3,heureArrivee:33275}
{ascStackId:0,heureEntreeAscenseur:59855,heureSortieAscenseur:101439,monteeIdId:0,heureArrivee:35618}
{ascStackId:0,heureEntreeAscenseur:57455,heureSortieAscenseur:100239,monteeIdId:0,heureArrivee:35618}
{ascStackId:1,heureEntreeAscenseur:180684,heureSortieAscenseur:239028,monteeIdId:0,heureArrivee:36240}
